state,city,year,education_services_exp,public_welfare_exp,hospital_exp,health_exp,police_protection_exp,fire_protection_exp,corrections_exp,inspection_and_regulation,parks_and_recreation_exp,housing_&_community_development_exp,financial_administration_exp,judicial_and_legal_exp,general_public_buildings_exp,other_governmental_admin_exp
TX,,2014,"1,691",5,104,73,272,163,56,7,109,118,32,84,39,30
TX,,2015,"1,736",4,216,85,336,194,67,7,112,121,43,85,46,34
TX,,2016,"1,612",4,229,86,295,163,71,7,150,120,42,86,47,35
TX,,2017,"1,764",5,311,93,295,169,170,6,134,105,43,86,35,39
TX,,2010,"1,785",12,722,66,375,173,59,39,224,273,42,79,62,35
TX,,2011,"2,004",40,739,55,360,172,56,30,176,242,37,71,41,27
TX,,2012,"1,773",46,775,53,326,166,53,28,160,214,36,69,34,27
TX,,2013,"1,631",30,723,52,311,166,52,29,166,218,30,71,29,25
TX,,2014,"1,480",31,774,53,324,162,58,31,170,205,33,77,33,22
TX,,2015,"1,582",31,790,76,319,176,59,33,152,187,34,74,30,25
TX,,2016,"1,646",25,823,73,319,161,62,38,135,187,37,78,31,30
TX,,2017,"1,652",26,826,86,328,164,66,50,146,174,43,75,36,38
TX,,2010,"2,235",16,529,93,231,121,107,5,78,154,46,91,46,38
TX,,2011,"2,022",17,594,94,227,124,103,6,90,141,39,85,32,31
TX,,2012,"1,902",16,582,84,240,140,121,1,55,79,40,83,46,24
TX,,2013,"1,901",15,540,72,250,139,108,11,58,162,36,72,70,28
TX,,2014,"1,914",11,491,78,245,141,111,8,94,132,39,81,72,31
TX,,2015,"1,929",10,547,88,263,144,111,5,179,238,42,95,50,33
TX,,2016,"1,874",10,617,56,256,146,134,5,105,170,33,94,47,36
TX,,2017,"1,936",7,739,81,237,143,115,7,97,170,33,92,46,48
TX,,2010,"1,983",3,475,111,362,162,65,23,70,134,27,93,15,46
TX,,2011,"1,991",3,460,113,356,155,64,24,68,135,23,88,13,43
TX,,2012,"1,630",3,455,100,369,151,51,23,119,158,26,98,13,44
TX,,2013,"1,524",3,425,88,353,156,71,20,101,147,23,95,13,40
TX,,2014,"1,527",2,398,97,345,156,51,16,114,134,28,101,14,47
TX,,2015,"1,621",3,421,101,357,154,57,12,104,121,25,103,11,49
TX,,2016,"1,705",3,426,105,356,155,60,12,104,137,27,99,10,48
TX,,2017,"1,692",2,428,109,363,159,58,12,107,132,27,85,10,44
TX,,2010,"1,827",4,766,43,239,134,57,7,59,114,31,72,69,39
TX,,2011,"1,788",27,785,46,222,129,54,7,54,97,30,67,47,42
TX,,2012,"1,678",32,823,45,226,130,52,17,88,88,27,66,43,38
TX,,2013,"1,743",29,769,48,212,127,51,16,61,90,28,64,40,29
TX,,2014,"1,696",28,823,46,214,124,57,17,61,78,30,70,40,32
TX,,2015,"1,800",23,841,76,205,124,59,17,61,70,26,72,37,35
TX,,2016,"1,953",21,876,79,206,127,61,17,58,71,26,75,38,35
TX,,2017,"2,103",22,879,80,220,130,65,18,60,68,27,72,43,36
TX,,2010,"1,885",9,432,138,448,196,95,28,96,160,41,89,48,41
TX,,2011,"1,823",8,430,126,416,142,85,26,86,153,36,83,53,40
TX,,2012,"1,743",6,398,122,382,182,77,27,56,147,45,76,118,122
TX,,2013,"1,576",6,459,100,392,176,62,27,48,146,28,77,46,100
TX,,2014,"1,577",6,460,120,412,194,76,34,46,128,50,76,99,79
TX,,2015,"1,650",5,454,135,393,183,65,31,58,113,45,83,35,110
TX,,2016,"1,827",5,471,126,393,187,67,31,50,107,29,81,32,129
TX,,2017,"1,920",5,522,131,402,176,82,32,52,115,31,81,31,148
TX,,2010,"1,549",2,"1,574",156,268,158,136,8,77,39,23,87,33,75
TX,,2011,"1,555",2,"1,546",148,268,154,109,7,71,39,22,96,36,77
TX,,2012,"1,494",2,"1,487",146,273,162,95,7,76,27,23,89,40,78
TX,,2013,"1,592",2,"1,522",138,284,173,94,7,75,41,21,96,32,69
TX,,2014,"1,503",2,"1,546",129,293,149,95,10,69,37,21,107,28,76
TX,,2015,"1,455",2,"1,603",139,262,171,79,9,67,40,24,106,53,80
TX,,2016,"1,442",2,"1,774",147,366,171,30,9,67,45,25,110,35,73
TX,,2017,"1,442",2,"1,793",151,357,197,27,10,64,47,25,117,43,83
TX,,2010,"2,188",119,535,70,294,168,84,0,150,192,36,92,13,17
TX,,2011,"1,944",120,576,63,288,171,70,0,143,179,40,98,13,15
TX,,2012,"1,812",107,584,67,280,180,61,0,129,175,23,72,15,16
TX,,2013,"1,888",107,577,62,275,171,60,0,123,158,40,72,13,15
TX,,2014,"1,958",76,722,61,283,174,64,0,165,153,34,74,14,16
TX,,2015,"2,096",87,711,74,287,172,61,3,190,152,39,68,27,19
TX,,2016,"1,904",88,685,76,289,175,62,0,233,151,35,78,16,21
TX,,2017,"1,840",88,785,79,295,182,50,1,163,148,41,88,16,16
UT,,2010,"1,032",10,0,111,180,83,53,0,98,126,62,39,41,24
UT,,2011,"1,096",10,0,114,168,80,53,0,104,136,58,37,41,21
UT,,2012,"1,015",3,0,83,175,82,50,0,252,118,59,44,40,22
UT,,2013,"1,007",3,0,55,170,82,47,0,256,98,26,52,44,38
UT,,2014,"1,018",3,0,56,173,83,48,0,93,94,25,54,70,52
UT,,2015,"1,053",3,0,107,149,80,39,0,133,100,21,45,50,76
UT,,2016,"1,351",3,0,111,151,84,39,0,116,92,18,46,1,83
UT,,2017,"1,625",3,0,106,149,85,37,12,87,108,18,44,1,75
UT,,2010,"1,436",54,0,47,375,196,83,0,294,502,66,109,265,73
UT,,2011,"1,447",52,0,45,374,198,81,0,273,485,56,110,258,67
UT,,2012,"1,433",74,0,37,370,207,81,0,274,396,63,106,48,70
UT,,2013,"1,466",106,0,35,353,194,76,28,251,436,75,105,398,72
UT,,2014,"1,255",113,0,36,377,235,77,0,126,339,95,105,16,55
UT,,2015,"1,359",120,0,46,354,186,74,0,156,323,78,108,6,56
UT,,2016,"1,361",137,0,66,484,191,72,0,172,295,56,104,8,56
UT,,2017,"1,432",128,0,69,548,187,71,0,293,326,55,131,58,98
VA,,2010,"2,309",127,150,150,221,236,264,13,75,39,74,54,17,43
VA,,2011,"2,183",126,139,150,219,190,257,39,89,14,87,51,41,42
VA,,2012,"2,212",136,156,135,188,186,254,15,93,16,68,40,46,55
VA,,2013,"2,083",164,155,60,181,183,233,0,74,11,74,40,32,59
VA,,2014,"2,054",82,175,137,190,175,243,24,99,105,84,38,32,33
VA,,2015,"2,020",81,174,134,200,172,241,24,94,102,82,38,31,33
VA,,2016,"2,023",84,175,130,262,181,252,25,72,91,69,41,32,34
VA,,2017,"2,070",86,172,149,265,182,292,26,66,103,70,41,33,39
VA,,2010,"1,848",339,321,175,338,231,235,12,285,509,137,66,268,69
VA,,2011,"1,637",289,325,173,349,209,216,10,250,498,105,70,205,88
VA,,2012,"1,838",332,313,163,299,178,202,10,209,479,101,59,142,83
VA,,2013,"1,812",189,319,205,305,201,229,11,284,457,88,55,280,65
VA,,2014,"1,597",226,336,159,313,169,257,0,184,421,36,32,304,104
VA,,2015,"1,630",223,325,147,310,167,260,0,192,423,43,36,169,31
VA,,2016,"1,821",223,328,148,292,168,212,0,282,457,50,121,108,34
VA,,2017,"1,743",186,334,181,299,179,225,0,230,373,57,102,114,44
VA,,2010,"1,837",103,0,247,526,270,167,19,107,494,254,82,36,22
VA,,2011,"1,659",93,0,237,463,252,237,17,99,476,145,81,84,35
VA,,2012,"1,737",85,0,239,476,244,331,22,95,486,149,83,105,35
VA,,2013,"1,692",82,0,230,459,234,321,21,92,466,144,80,95,34
VA,,2014,"1,820",308,0,270,609,206,163,19,184,461,104,107,41,92
VA,,2015,"1,744",328,0,291,514,213,175,0,158,486,140,107,29,90
VA,,2016,"1,661",316,0,297,445,210,170,0,126,588,129,104,24,95
VA,,2017,"1,696",316,0,345,458,203,157,0,118,572,114,98,17,87
VA,,2010,"2,163",194,150,142,208,113,156,12,265,90,44,42,134,55
VA,,2011,"2,097",173,139,133,208,115,150,6,252,74,41,40,56,49
VA,,2012,"2,052",167,156,129,215,115,146,4,257,62,42,40,91,54
VA,,2013,"1,941",143,155,139,216,121,146,4,240,66,42,41,79,59
VA,,2014,"1,947",142,175,129,220,126,157,4,326,87,42,47,38,58
VA,,2015,"1,913",133,174,143,217,123,162,12,340,72,43,39,83,56
VA,,2016,"1,940",132,175,145,216,116,160,12,335,71,43,43,70,61
VA,,2017,"1,895",130,172,147,216,122,165,12,303,73,43,44,90,61
VT,,2010,"1,806",0,0,0,255,159,0,28,159,674,51,31,14,55
VT,,2011,"1,991",1,0,0,263,167,0,32,184,666,57,27,12,69
VT,,2012,"1,805",0,0,0,270,166,0,28,208,657,67,24,40,77
VT,,2013,"2,011",0,0,0,363,223,0,22,156,"1,004",87,25,0,131
VT,,2014,"2,003",1,0,3,332,199,0,26,235,671,38,28,0,65
VT,,2015,"1,934",1,0,3,362,224,0,23,248,700,46,31,0,86
VT,,2016,"1,891",0,0,3,364,225,0,25,238,709,44,31,0,73
VT,,2017,"1,892",0,0,3,378,234,0,24,285,720,68,29,0,100
VT,,2010,"2,850",0,0,0,350,183,0,0,131,186,71,22,41,24
VT,,2011,"3,048",0,0,0,326,203,0,0,93,235,69,16,49,32
VT,,2012,"2,858",0,0,0,339,187,0,0,120,220,48,13,56,55
VT,,2013,"2,876",0,0,0,352,194,0,0,117,283,52,13,59,50
VT,,2014,"2,890",0,0,0,326,232,0,0,124,229,49,13,55,54
VT,,2015,"3,499",0,0,0,390,210,0,0,118,186,53,15,29,65
VT,,2016,"3,073",0,0,0,391,216,0,0,122,165,54,15,30,67
VT,,2017,"3,021",0,0,0,411,222,0,0,123,205,49,13,28,72
WA,,2010,"1,422",213,18,269,410,257,97,68,380,412,55,158,37,91
WA,,2011,"1,279",203,18,261,385,259,86,52,362,466,56,152,10,77
WA,,2012,"1,147",193,14,251,381,221,81,55,325,372,50,146,17,69
WA,,2013,"1,129",174,14,261,360,229,80,56,268,412,30,148,15,69
WA,,2014,"1,214",158,14,261,374,210,79,64,331,361,24,148,4,67
WA,,2015,"1,331",176,14,269,395,219,80,67,289,378,25,153,4,68
WA,,2016,"1,570",159,33,281,369,262,83,57,387,395,29,192,0,71
WA,,2017,"1,505",155,14,309,379,269,81,62,423,422,32,192,0,82
WA,,2010,"1,664",18,0,214,319,196,84,18,333,233,53,139,16,44
WA,,2011,"1,685",20,0,214,307,198,89,19,204,245,43,130,14,48
WA,,2012,"1,761",20,0,216,298,191,88,18,163,228,29,128,14,49
WA,,2013,"1,735",30,0,217,312,199,94,19,139,199,31,124,14,40
WA,,2014,"1,854",36,0,253,337,212,83,27,181,197,40,132,10,54
WA,,2015,"1,787",34,0,273,347,217,85,29,227,190,46,125,11,40
WA,,2016,"1,820",44,0,333,346,237,91,39,173,174,50,130,11,30
WA,,2017,"1,919",47,0,338,342,220,93,36,185,257,49,128,10,32
WA,,2010,"1,923",44,0,157,420,233,91,23,136,399,72,151,3,139
WA,,2011,"2,010",45,0,141,422,231,90,35,251,402,74,146,3,126
WA,,2012,"1,967",48,0,140,405,240,83,35,275,424,71,141,3,123
WA,,2013,"1,843",11,0,134,426,251,83,34,207,292,174,139,0,115
WA,,2014,"2,022",16,0,76,469,326,85,3,202,332,174,144,0,86
WA,,2015,"1,966",15,0,77,472,339,84,3,199,384,174,148,0,67
WA,,2016,"2,545",23,0,79,492,340,85,3,273,413,172,149,0,87
WA,,2017,"2,371",21,0,78,518,345,77,3,220,360,173,156,0,77
WI,,2010,"1,844",442,0,112,374,214,81,16,303,194,38,67,26,88
WI,,2011,"1,812",438,0,108,375,197,78,20,190,219,38,65,28,101
WI,,2012,"1,755",426,0,106,384,199,77,16,307,186,37,66,24,59
WI,,2013,"1,855",420,0,108,359,204,77,14,205,184,35,63,24,56
WI,,2014,"1,903",424,0,106,360,208,74,17,189,191,34,65,24,55
WI,,2015,"1,817",431,0,110,361,209,73,14,266,214,35,68,27,64
WI,,2016,"1,837",438,0,109,364,272,73,17,239,220,35,69,25,64
WI,,2017,"1,782",444,0,121,368,207,72,15,209,171,33,68,39,71
WI,,2010,"2,344",192,0,524,493,214,186,31,165,87,45,117,46,57
WI,,2011,"2,251",182,0,564,522,211,182,33,158,78,42,91,51,58
WI,,2012,"1,995",105,0,565,502,163,174,31,153,74,41,88,47,300
WI,,2013,"1,925",101,0,551,486,164,157,31,156,73,42,88,44,234
WI,,2014,"1,784",73,0,476,477,172,158,30,150,72,41,96,44,276
WI,,2015,"1,823",64,0,544,541,161,155,30,153,64,51,100,88,276
WI,,2016,"1,812",75,0,550,588,160,153,30,188,56,54,112,63,252
WI,,2017,"1,960",76,0,454,587,186,171,29,179,55,52,110,64,242
WV,,2010,"1,819",0,0,20,483,458,26,0,230,379,88,50,50,253
WV,,2011,"1,843",0,0,20,486,422,46,0,220,930,102,64,29,218
WV,,2012,"1,675",0,0,17,516,422,32,0,227,793,117,76,49,220
WV,,2013,"1,690",0,0,21,526,444,29,0,228,509,121,73,39,222
WV,,2014,"1,628",0,0,19,504,402,26,0,219,434,122,71,29,223
WV,,2015,"1,707",1,0,24,613,370,31,0,203,311,127,73,54,191
WV,,2016,"1,572",16,0,41,563,385,30,0,498,357,77,87,73,212
WV,,2017,"1,654",16,0,26,605,464,29,0,967,376,168,89,49,253
WV,,2010,"1,647",22,0,35,311,244,36,7,130,458,238,34,66,115
WV,,2011,"1,476",19,0,35,341,262,45,7,136,437,208,31,57,102
WV,,2012,"1,404",20,0,38,324,244,46,7,123,439,217,42,66,120
WV,,2013,"1,475",2,0,34,321,243,45,6,115,360,238,40,69,123
WV,,2014,"1,454",7,0,38,345,265,44,7,161,370,232,39,67,120
WV,,2015,"1,519",6,0,40,361,279,44,8,111,375,218,39,65,116
WV,,2016,"1,474",7,0,39,373,262,46,8,127,334,261,42,74,132
WV,,2017,"1,472",14,0,34,320,277,44,4,120,374,206,34,65,102
WY,,2010,"3,020",35,3,77,328,169,149,19,241,11,77,76,146,177
WY,,2011,"2,735",120,2,70,311,169,138,17,238,11,78,72,49,137
WY,,2012,"2,593",50,2,27,322,148,147,17,242,9,75,70,48,141
WY,,2013,"2,563",77,2,47,382,192,145,20,245,7,90,75,93,92
WY,,2014,"2,887",54,2,26,357,217,144,20,302,3,101,74,80,163
WY,,2015,"3,510",25,2,26,331,176,150,20,376,5,106,74,92,166
WY,,2016,"3,429",25,1,28,336,169,141,20,383,1,108,70,91,296
WY,,2017,"3,039",27,1,29,350,180,141,22,387,1,109,72,89,269
WY,,2010,"2,971",33,"3,043",107,308,173,104,29,224,14,60,57,40,345
WY,,2011,"2,524",21,"3,404",45,293,178,130,27,131,14,55,58,33,291
WY,,2012,"2,512",25,"3,616",46,302,174,137,32,216,5,60,57,35,257
WY,,2013,"2,471",19,"3,609",51,340,187,94,23,269,8,62,53,74,90
WY,,2014,"2,541",19,"3,257",62,360,191,89,23,190,7,62,54,73,108
WY,,2015,"2,767",22,"3,368",59,470,183,96,24,288,9,67,49,78,99
WY,,2016,"2,665",23,"3,668",62,504,189,101,24,145,3,65,53,80,104
WY,,2017,"2,563",33,"3,402",66,364,171,93,30,165,7,64,44,65,151
